_id,date,center_name,attendance_count
53946877,2019-02-21,Paulson Community Center,7
53946878,2019-02-21,Phillips Community Center,77
53946879,2019-02-21,West Penn Community Center,137
53946880,2019-02-21,Ammon Community Center,30
53946881,2019-02-21,Arlington Community Center,5
53946882,2019-02-21,Brookline Community Center,115
53946883,2019-02-21,Jefferson Community Center,13
53946884,2019-02-21,Magee Community Center,61
53946885,2019-02-21,Ormsby Community Center,37
53946886,2019-02-21,Warrington Community Center,80
53946887,2019-02-20,Phillips Community Center,99
53946888,2019-02-20,Paulson Community Center,21
53946889,2019-02-20,West Penn Community Center,62
53946890,2019-02-20,Arlington Community Center,20
53946891,2019-02-20,Ammon Community Center,85
53946892,2019-02-20,Brookline Community Center,87
53946893,2019-02-20,Magee Community Center,62
53946894,2019-02-20,Ormsby Community Center,12
53946895,2019-02-20,Warrington Community Center,31
53946896,2019-02-19,Paulson Community Center,27
53946897,2019-02-19,Phillips Community Center,95
53946898,2019-02-19,West Penn Community Center,86
53946899,2019-02-19,Ammon Community Center,59
53946900,2019-02-19,Arlington Community Center,13
53946901,2019-02-19,Brookline Community Center,104
53946902,2019-02-19,Magee Community Center,50
53946903,2019-02-19,Jefferson Community Center,20
53946904,2019-02-19,Ormsby Community Center,58
53946905,2019-02-19,Warrington Community Center,46
53946906,2019-02-18,Phillips Community Center,70
53946907,2019-02-18,Paulson Community Center,26
53946908,2019-02-18,West Penn Community Center,31
53946909,2019-02-18,Arlington Community Center,26
53946910,2019-02-18,Ammon Community Center,97
53946911,2019-02-18,Brookline Community Center,91
53946912,2019-02-18,Magee Community Center,58
53946913,2019-02-18,Ormsby Community Center,18
53946914,2019-02-18,Warrington Community Center,45
53946915,2019-02-16,Phillips Community Center,45
53946916,2019-02-16,West Penn Community Center,27
53946917,2019-02-16,Brookline Community Center,68
53946918,2019-02-16,Magee Community Center,34
53946919,2019-02-15,Phillips Community Center,106
53946920,2019-02-15,Paulson Community Center,34
53946921,2019-02-15,West Penn Community Center,43
53946922,2019-02-15,Ammon Community Center,92
53946923,2019-02-15,Brookline Community Center,88
53946924,2019-02-15,Magee Community Center,64
53946925,2019-02-15,Jefferson Community Center,4
53946926,2019-02-15,Ormsby Community Center,72
53946927,2019-02-15,Warrington Community Center,96
53946928,2019-02-14,Paulson Community Center,28
53946929,2019-02-14,Phillips Community Center,86
53946930,2019-02-14,West Penn Community Center,134
53946931,2019-02-14,Ammon Community Center,95
53946932,2019-02-14,Brookline Community Center,86
53946933,2019-02-14,Jefferson Community Center,19
53946934,2019-02-14,Magee Community Center,40
53946935,2019-02-14,Ormsby Community Center,15
53946936,2019-02-14,Warrington Community Center,57
53946937,2019-02-13,Phillips Community Center,157
53946938,2019-02-13,Paulson Community Center,28
53946939,2019-02-13,West Penn Community Center,87
53946940,2019-02-13,Ammon Community Center,102
53946941,2019-02-13,Brookline Community Center,87
53946942,2019-02-13,Magee Community Center,42
53946943,2019-02-13,Jefferson Community Center,16
53946944,2019-02-13,Ormsby Community Center,22
53946945,2019-02-13,Warrington Community Center,48
53946946,2019-02-12,Paulson Community Center,22
53946947,2019-02-12,Phillips Community Center,98
53946948,2019-02-12,West Penn Community Center,102
53946949,2019-02-12,Ammon Community Center,94
53946950,2019-02-12,Arlington Community Center,2
53946951,2019-02-12,Brookline Community Center,86
53946952,2019-02-12,Jefferson Community Center,13
53946953,2019-02-12,Magee Community Center,37
53946954,2019-02-12,Ormsby Community Center,64
53946955,2019-02-12,Warrington Community Center,39
53946956,2019-02-11,Phillips Community Center,77
53946957,2019-02-11,Paulson Community Center,25
53946958,2019-02-11,West Penn Community Center,41
53946959,2019-02-11,Arlington Community Center,8
53946960,2019-02-11,Ammon Community Center,34
53946961,2019-02-11,Brookline Community Center,86
53946962,2019-02-11,Magee Community Center,36
53946963,2019-02-11,Jefferson Community Center,13
53946964,2019-02-11,Ormsby Community Center,42
53946965,2019-02-11,Warrington Community Center,37
53946966,2019-02-09,Phillips Community Center,46
53946967,2019-02-09,West Penn Community Center,27
53946968,2019-02-09,Brookline Community Center,84
53946969,2019-02-09,Magee Community Center,9
53946970,2019-02-08,Phillips Community Center,54
53946971,2019-02-08,Paulson Community Center,30
53946972,2019-02-08,West Penn Community Center,37
53946973,2019-02-08,Ammon Community Center,19
53946974,2019-02-08,Brookline Community Center,67
53946975,2019-02-08,Magee Community Center,50
53946976,2019-02-08,Jefferson Community Center,12
53946977,2019-02-08,Ormsby Community Center,15
53946978,2019-02-08,Warrington Community Center,51
53946979,2019-02-07,Paulson Community Center,24
53946980,2019-02-07,Phillips Community Center,107
53946981,2019-02-07,West Penn Community Center,131
53946982,2019-02-07,Ammon Community Center,29
53946983,2019-02-07,Brookline Community Center,138
53946984,2019-02-07,Magee Community Center,38
53946985,2019-02-07,Ormsby Community Center,140
53946986,2019-02-07,Warrington Community Center,36
53946987,2019-02-06,Phillips Community Center,98
53946988,2019-02-06,Paulson Community Center,27
53946989,2019-02-06,West Penn Community Center,81
53946990,2019-02-06,Ammon Community Center,110
53946991,2019-02-06,Brookline Community Center,79
53946992,2019-02-06,Magee Community Center,55
53946993,2019-02-06,Jefferson Community Center,28
53946994,2019-02-06,Ormsby Community Center,13
53946995,2019-02-06,Warrington Community Center,70
53946996,2019-02-05,Paulson Community Center,20
53946997,2019-02-05,Phillips Community Center,96
53946998,2019-02-05,West Penn Community Center,91
53946999,2019-02-05,Ammon Community Center,34
53947000,2019-02-05,Arlington Community Center,2
53947001,2019-02-05,Brookline Community Center,109
53947002,2019-02-05,Jefferson Community Center,12
53947003,2019-02-05,Magee Community Center,36
53947004,2019-02-05,Ormsby Community Center,56
53947005,2019-02-05,Warrington Community Center,42
53947006,2019-02-04,Phillips Community Center,124
53947007,2019-02-04,Paulson Community Center,26
53947008,2019-02-04,West Penn Community Center,51
53947009,2019-02-04,Ammon Community Center,113
53947010,2019-02-04,Brookline Community Center,53
53947011,2019-02-04,Magee Community Center,78
53947012,2019-02-04,Jefferson Community Center,9
53947013,2019-02-04,Ormsby Community Center,53
53947014,2019-02-04,Warrington Community Center,50
53947015,2019-02-02,Phillips Community Center,52
53947016,2019-02-02,West Penn Community Center,13
53947017,2019-02-02,Brookline Community Center,32
53947018,2019-02-02,Magee Community Center,34
53947019,2019-02-01,Phillips Community Center,41
53947020,2019-02-01,Paulson Community Center,5
53947021,2019-02-01,West Penn Community Center,24
53947022,2019-02-01,Ammon Community Center,12
53947023,2019-02-01,Brookline Community Center,85
53947024,2019-02-01,Magee Community Center,40
53947025,2019-02-01,Jefferson Community Center,1
53947026,2019-02-01,Ormsby Community Center,12
53947027,2019-02-01,Warrington Community Center,29
53947028,2019-01-31,Paulson Community Center,2
53947029,2019-01-31,Phillips Community Center,50
53947030,2019-01-31,West Penn Community Center,141
53947031,2019-01-31,Ammon Community Center,34
53947032,2019-01-31,Brookline Community Center,141
53947033,2019-01-31,Jefferson Community Center,15
53947034,2019-01-31,Magee Community Center,44
53947035,2019-01-31,Ormsby Community Center,16
53947036,2019-01-31,Warrington Community Center,44
53947037,2019-01-30,Phillips Community Center,38
53947038,2019-01-30,Paulson Community Center,4
53947039,2019-01-30,West Penn Community Center,69
53947040,2019-01-30,Ammon Community Center,22
53947041,2019-01-30,Brookline Community Center,69
53947042,2019-01-30,Magee Community Center,50
53947043,2019-01-30,Jefferson Community Center,15
53947044,2019-01-30,Ormsby Community Center,16
53947045,2019-01-30,Warrington Community Center,34
53947046,2019-01-29,Paulson Community Center,6
53947047,2019-01-29,Phillips Community Center,72
53947048,2019-01-29,West Penn Community Center,94
53947049,2019-01-29,Ammon Community Center,79
53947050,2019-01-29,Brookline Community Center,95
53947051,2019-01-29,Jefferson Community Center,6
53947052,2019-01-29,Magee Community Center,39
53947053,2019-01-29,Ormsby Community Center,24
53947054,2019-01-29,Warrington Community Center,34
53947055,2019-01-28,Phillips Community Center,74
53947056,2019-01-28,Paulson Community Center,15
53947057,2019-01-28,West Penn Community Center,55
53947058,2019-01-28,Ammon Community Center,58
53947059,2019-01-28,Brookline Community Center,103
53947060,2019-01-28,Magee Community Center,71
53947061,2019-01-28,Jefferson Community Center,11
53947062,2019-01-28,Ormsby Community Center,33
53947063,2019-01-28,Warrington Community Center,59
53947064,2019-01-26,Phillips Community Center,57
53947065,2019-01-26,West Penn Community Center,23
53947066,2019-01-26,Brookline Community Center,76
53947067,2019-01-26,Magee Community Center,22
53947068,2019-01-25,Phillips Community Center,84
53947069,2019-01-25,Paulson Community Center,22
53947070,2019-01-25,West Penn Community Center,43
53947071,2019-01-25,Ammon Community Center,92
53947072,2019-01-25,Brookline Community Center,65
53947073,2019-01-25,Magee Community Center,75
53947074,2019-01-25,Jefferson Community Center,23
53947075,2019-01-25,Ormsby Community Center,41
53947076,2019-01-25,Warrington Community Center,38
53947077,2019-01-24,Paulson Community Center,27
53947078,2019-01-24,Phillips Community Center,90
53947079,2019-01-24,West Penn Community Center,139
53947080,2019-01-24,Ammon Community Center,95
53947081,2019-01-24,Brookline Community Center,102
53947082,2019-01-24,Jefferson Community Center,19
53947083,2019-01-24,Magee Community Center,51
53947084,2019-01-24,Ormsby Community Center,25
53947085,2019-01-24,Warrington Community Center,61
53947086,2019-01-23,Phillips Community Center,155
53947087,2019-01-23,Paulson Community Center,25
53947088,2019-01-23,West Penn Community Center,56
53947089,2019-01-23,Ammon Community Center,110
53947090,2019-01-23,Brookline Community Center,124
53947091,2019-01-23,Magee Community Center,45
53947092,2019-01-23,Jefferson Community Center,11
53947093,2019-01-23,Ormsby Community Center,40
53947094,2019-01-23,Warrington Community Center,61
53947095,2019-01-22,Paulson Community Center,28
53947096,2019-01-22,Phillips Community Center,90
53947097,2019-01-22,West Penn Community Center,55
53947098,2019-01-22,Brookline Community Center,101
53947099,2019-01-22,Jefferson Community Center,12
53947100,2019-01-22,Magee Community Center,45
53947101,2019-01-22,Ormsby Community Center,52
53947102,2019-01-22,Warrington Community Center,48
53947103,2019-01-19,Phillips Community Center,17
53947104,2019-01-19,Magee Community Center,29
53947105,2019-01-18,Phillips Community Center,58
53947106,2019-01-18,Paulson Community Center,3
53947107,2019-01-18,West Penn Community Center,40
53947108,2019-01-18,Ammon Community Center,36
53947109,2019-01-18,Brookline Community Center,93
53947110,2019-01-18,Magee Community Center,58
53947111,2019-01-18,Jefferson Community Center,14
53947112,2019-01-18,Ormsby Community Center,47
53947113,2019-01-18,Warrington Community Center,37
53947114,2019-01-17,Paulson Community Center,27
53947115,2019-01-17,Phillips Community Center,65
53947116,2019-01-17,West Penn Community Center,150
53947117,2019-01-17,Ammon Community Center,20
53947118,2019-01-17,Brookline Community Center,91
53947119,2019-01-17,Jefferson Community Center,22
53947120,2019-01-17,Magee Community Center,45
53947121,2019-01-17,Ormsby Community Center,48
53947122,2019-01-17,Warrington Community Center,52
53947123,2019-01-16,Phillips Community Center,132
53947124,2019-01-16,Paulson Community Center,23
53947125,2019-01-16,West Penn Community Center,77
53947126,2019-01-16,Ammon Community Center,18
53947127,2019-01-16,Brookline Community Center,96
53947128,2019-01-16,Magee Community Center,48
53947129,2019-01-16,Jefferson Community Center,36
53947130,2019-01-16,Ormsby Community Center,40
53947131,2019-01-16,Warrington Community Center,69
53947132,2019-01-15,Paulson Community Center,25
53947133,2019-01-15,Phillips Community Center,98
53947134,2019-01-15,West Penn Community Center,104
53947135,2019-01-15,Ammon Community Center,10
53947136,2019-01-15,Brookline Community Center,86
53947137,2019-01-15,Jefferson Community Center,13
53947138,2019-01-15,Magee Community Center,41
53947139,2019-01-15,Ormsby Community Center,53
53947140,2019-01-15,Warrington Community Center,34
53947141,2019-01-14,Phillips Community Center,81
53947142,2019-01-14,Paulson Community Center,21
53947143,2019-01-14,West Penn Community Center,49
53947144,2019-01-14,Ammon Community Center,105
53947145,2019-01-14,Brookline Community Center,88
53947146,2019-01-14,Magee Community Center,77
53947147,2019-01-14,Jefferson Community Center,28
53947148,2019-01-14,Ormsby Community Center,51
53947149,2019-01-14,Warrington Community Center,81
53947150,2019-01-12,Phillips Community Center,39
53947151,2019-01-12,West Penn Community Center,30
53947152,2019-01-12,Ammon Community Center,60
53947153,2019-01-12,Brookline Community Center,39
53947154,2019-01-12,Magee Community Center,17
53947155,2019-01-11,Phillips Community Center,82
53947156,2019-01-11,Paulson Community Center,5
53947157,2019-01-11,West Penn Community Center,45
53947158,2019-01-11,Ammon Community Center,16
53947159,2019-01-11,Brookline Community Center,107
53947160,2019-01-11,Magee Community Center,49
53947161,2019-01-11,Jefferson Community Center,16
53947162,2019-01-11,Ormsby Community Center,33
53947163,2019-01-11,Warrington Community Center,57
53947164,2019-01-10,Paulson Community Center,26
53947165,2019-01-10,Phillips Community Center,81
53947166,2019-01-10,West Penn Community Center,158
53947167,2019-01-10,Ammon Community Center,80
53947168,2019-01-10,Brookline Community Center,99
53947169,2019-01-10,Jefferson Community Center,15
53947170,2019-01-10,Magee Community Center,41
53947171,2019-01-10,Ormsby Community Center,49
53947172,2019-01-10,Warrington Community Center,62
53947173,2019-01-09,Phillips Community Center,108
53947174,2019-01-09,Paulson Community Center,30
53947175,2019-01-09,West Penn Community Center,77
53947176,2019-01-09,Ammon Community Center,34
53947177,2019-01-09,Brookline Community Center,99
53947178,2019-01-09,Magee Community Center,46
53947179,2019-01-09,Jefferson Community Center,9
53947180,2019-01-09,Ormsby Community Center,38
53947181,2019-01-09,Warrington Community Center,75
53947182,2019-01-08,Paulson Community Center,7
53947183,2019-01-08,Phillips Community Center,115
53947184,2019-01-08,West Penn Community Center,87
53947185,2019-01-08,Ammon Community Center,35
53947186,2019-01-08,Brookline Community Center,78
53947187,2019-01-08,Jefferson Community Center,23
53947188,2019-01-08,Magee Community Center,32
53947189,2019-01-08,Ormsby Community Center,35
53947190,2019-01-08,Warrington Community Center,51
53947191,2019-01-07,Phillips Community Center,71
53947192,2019-01-07,Paulson Community Center,27
53947193,2019-01-07,West Penn Community Center,68
53947194,2019-01-07,Ammon Community Center,105
53947195,2019-01-07,Brookline Community Center,82
53947196,2019-01-07,Magee Community Center,41
53947197,2019-01-07,Jefferson Community Center,29
53947198,2019-01-07,Ormsby Community Center,57
53947199,2019-01-07,Warrington Community Center,83
53947200,2019-01-05,Phillips Community Center,22
53947201,2019-01-05,West Penn Community Center,19
53947202,2019-01-05,Brookline Community Center,75
53947203,2019-01-05,Magee Community Center,42
53947204,2019-01-04,Phillips Community Center,95
53947205,2019-01-04,Paulson Community Center,23
53947206,2019-01-04,West Penn Community Center,50
53947207,2019-01-04,Ammon Community Center,68
53947208,2019-01-04,Brookline Community Center,79
53947209,2019-01-04,Magee Community Center,29
53947210,2019-01-04,Jefferson Community Center,26
53947211,2019-01-04,Ormsby Community Center,30
53947212,2019-01-04,Warrington Community Center,36
53947213,2019-01-03,Paulson Community Center,27
53947214,2019-01-03,Phillips Community Center,91
53947215,2019-01-03,West Penn Community Center,88
53947216,2019-01-03,Ammon Community Center,34
53947217,2019-01-03,Brookline Community Center,76
53947218,2019-01-03,Jefferson Community Center,18
53947219,2019-01-03,Magee Community Center,56
53947220,2019-01-03,Ormsby Community Center,24
53947221,2019-01-03,Warrington Community Center,22
53947222,2019-01-02,Phillips Community Center,118
53947223,2019-01-02,Paulson Community Center,21
53947224,2019-01-02,West Penn Community Center,52
53947225,2019-01-02,Ammon Community Center,26
53947226,2019-01-02,Brookline Community Center,72
53947227,2019-01-02,Magee Community Center,31
53947228,2019-01-02,Jefferson Community Center,23
53947229,2019-01-02,Ormsby Community Center,13
53947230,2019-01-02,Warrington Community Center,26
53947231,2018-12-31,Phillips Community Center,16
53947232,2018-12-31,West Penn Community Center,16
53947233,2018-12-31,Ammon Community Center,2
53947234,2018-12-31,Brookline Community Center,41
53947235,2018-12-31,Magee Community Center,21
53947236,2018-12-31,Ormsby Community Center,2
53947237,2018-12-31,Warrington Community Center,1
53947238,2018-12-29,Phillips Community Center,21
53947239,2018-12-29,West Penn Community Center,23
53947240,2018-12-29,Brookline Community Center,57
53947241,2018-12-29,Magee Community Center,44
53947242,2018-12-28,Phillips Community Center,43
53947243,2018-12-28,Paulson Community Center,5
53947244,2018-12-28,West Penn Community Center,45
53947245,2018-12-28,Ammon Community Center,72
53947246,2018-12-28,Brookline Community Center,53
53947247,2018-12-28,Magee Community Center,25
53947248,2018-12-28,Jefferson Community Center,14
53947249,2018-12-28,Ormsby Community Center,19
53947250,2018-12-28,Warrington Community Center,18
53947251,2018-12-27,Paulson Community Center,12
53947252,2018-12-27,Phillips Community Center,47
53947253,2018-12-27,West Penn Community Center,47
53947254,2018-12-27,Ammon Community Center,17
53947255,2018-12-27,Brookline Community Center,35
53947256,2018-12-27,Jefferson Community Center,15
53947257,2018-12-27,Magee Community Center,29
53947258,2018-12-27,Ormsby Community Center,18
53947259,2018-12-27,Warrington Community Center,12
53947260,2018-12-26,Phillips Community Center,39
53947261,2018-12-26,Paulson Community Center,5
53947262,2018-12-26,West Penn Community Center,33
53947263,2018-12-26,Ammon Community Center,21
53947264,2018-12-26,Brookline Community Center,52
53947265,2018-12-26,Magee Community Center,19
53947266,2018-12-26,Jefferson Community Center,14
53947267,2018-12-26,Ormsby Community Center,10
53947268,2018-12-26,Warrington Community Center,16
53947269,2018-12-24,Phillips Community Center,12
53947270,2018-12-24,West Penn Community Center,17
53947271,2018-12-24,Ammon Community Center,2
53947272,2018-12-24,Brookline Community Center,21
53947273,2018-12-24,Magee Community Center,2
53947274,2018-12-24,Ormsby Community Center,6
53947275,2018-12-24,Warrington Community Center,4
53947276,2018-12-22,West Penn Community Center,22
53947277,2018-12-22,Brookline Community Center,47
53947278,2018-12-22,Magee Community Center,27
53947279,2018-12-21,Phillips Community Center,56
53947280,2018-12-21,Paulson Community Center,27
53947281,2018-12-21,West Penn Community Center,42
53947282,2018-12-21,Ammon Community Center,80
53947283,2018-12-21,Brookline Community Center,21
53947284,2018-12-21,Magee Community Center,35
53947285,2018-12-21,Jefferson Community Center,21
53947286,2018-12-21,Ormsby Community Center,7
53947287,2018-12-21,Warrington Community Center,14
53947288,2018-12-20,Paulson Community Center,24
53947289,2018-12-20,Phillips Community Center,79
53947290,2018-12-20,West Penn Community Center,70
53947291,2018-12-20,Ammon Community Center,23
53947292,2018-12-20,Brookline Community Center,48
53947293,2018-12-20,Jefferson Community Center,18
53947294,2018-12-20,Magee Community Center,61
53947295,2018-12-20,Ormsby Community Center,29
53947296,2018-12-20,Warrington Community Center,17
53947297,2018-12-19,Phillips Community Center,91
53947298,2018-12-19,West Penn Community Center,55
53947299,2018-12-19,Ammon Community Center,22
53947300,2018-12-19,Brookline Community Center,99
53947301,2018-12-19,Magee Community Center,18
53947302,2018-12-19,Jefferson Community Center,23
53947303,2018-12-19,Ormsby Community Center,18
53947304,2018-12-19,Paulson Community Center,26
53947305,2018-12-19,Warrington Community Center,13
53947306,2018-12-18,Phillips Community Center,96
53947307,2018-12-18,West Penn Community Center,89
53947308,2018-12-18,Ammon Community Center,28
53947309,2018-12-18,Brookline Community Center,69
53947310,2018-12-18,Paulson Community Center,25
53947311,2018-12-18,Ormsby Community Center,74
53947312,2018-12-18,Warrington Community Center,19
53947313,2018-12-17,Phillips Community Center,70
53947314,2018-12-17,West Penn Community Center,60
53947315,2018-12-17,Ammon Community Center,113
53947316,2018-12-17,Brookline Community Center,76
53947317,2018-12-17,Ormsby Community Center,21
53947318,2018-12-17,Paulson Community Center,26
53947319,2018-12-17,Warrington Community Center,47
53947320,2018-12-15,Phillips Community Center,13
53947321,2018-12-15,West Penn Community Center,22
53947322,2018-12-15,Brookline Community Center,76
53947323,2018-12-14,Phillips Community Center,81
53947324,2018-12-14,West Penn Community Center,73
53947325,2018-12-14,Ammon Community Center,55
53947326,2018-12-14,Brookline Community Center,54
53947327,2018-12-14,Magee Community Center,59
53947328,2018-12-14,Paulson Community Center,25
53947329,2018-12-14,Ormsby Community Center,18
53947330,2018-12-14,Warrington Community Center,31
53947331,2018-12-13,Phillips Community Center,68
53947332,2018-12-13,West Penn Community Center,87
53947333,2018-12-13,Ammon Community Center,51
53947334,2018-12-13,Brookline Community Center,72
53947335,2018-12-13,Magee Community Center,29
53947336,2018-12-13,Ormsby Community Center,59
53947337,2018-12-13,Paulson Community Center,30
53947338,2018-12-13,Warrington Community Center,53
53947339,2018-12-12,Phillips Community Center,88
53947340,2018-12-12,West Penn Community Center,69
53947341,2018-12-12,Ammon Community Center,84
53947342,2018-12-12,Brookline Community Center,93
53947343,2018-12-12,Magee Community Center,42
53947344,2018-12-12,Paulson Community Center,22
53947345,2018-12-12,Ormsby Community Center,16
53947346,2018-12-12,Warrington Community Center,19
53947347,2018-12-11,Phillips Community Center,80
53947348,2018-12-11,West Penn Community Center,105
53947349,2018-12-11,Ammon Community Center,29
53947350,2018-12-11,Brookline Community Center,79
53947351,2018-12-11,Magee Community Center,58
53947352,2018-12-11,Ormsby Community Center,17
53947353,2018-12-11,Paulson Community Center,24
53947354,2018-12-11,Warrington Community Center,25
53947355,2018-12-10,Phillips Community Center,88
53947356,2018-12-10,West Penn Community Center,96
53947357,2018-12-10,Ammon Community Center,70
53947358,2018-12-10,Brookline Community Center,62
53947359,2018-12-10,Magee Community Center,56
53947360,2018-12-10,Paulson Community Center,18
53947361,2018-12-10,Ormsby Community Center,48
53947362,2018-12-10,Warrington Community Center,30
53947363,2018-12-08,Phillips Community Center,14
53947364,2018-12-08,West Penn Community Center,41
53947365,2018-12-08,Brookline Community Center,26
53947366,2018-12-08,Magee Community Center,55
53947367,2018-12-07,Phillips Community Center,45
53947368,2018-12-07,West Penn Community Center,61
53947369,2018-12-07,Ammon Community Center,28
53947370,2018-12-07,Brookline Community Center,49
53947371,2018-12-07,Magee Community Center,49
53947372,2018-12-07,Ormsby Community Center,59
53947373,2018-12-07,Paulson Community Center,23
53947374,2018-12-07,Warrington Community Center,19
53947375,2018-12-06,Phillips Community Center,47
53947376,2018-12-06,West Penn Community Center,65
53947377,2018-12-06,Ammon Community Center,86
53947378,2018-12-06,Brookline Community Center,52
53947379,2018-12-06,Magee Community Center,41
53947380,2018-12-06,Paulson Community Center,22
53947381,2018-12-06,Ormsby Community Center,18
53947382,2018-12-06,Warrington Community Center,41
53947383,2018-12-05,Phillips Community Center,80
53947384,2018-12-05,West Penn Community Center,69
53947385,2018-12-05,Ammon Community Center,116
53947386,2018-12-05,Brookline Community Center,75
53947387,2018-12-05,Magee Community Center,35
53947388,2018-12-05,Jefferson Community Center,15
53947389,2018-12-05,Ormsby Community Center,33
53947390,2018-12-05,Paulson Community Center,22
53947391,2018-12-05,Warrington Community Center,32
53947392,2018-12-04,Phillips Community Center,67
53947393,2018-12-04,West Penn Community Center,80
53947394,2018-12-04,Ammon Community Center,94
53947395,2018-12-04,Brookline Community Center,63
53947396,2018-12-04,Jefferson Community Center,28
53947397,2018-12-04,Magee Community Center,38
53947398,2018-12-04,Paulson Community Center,29
53947399,2018-12-04,Ormsby Community Center,23
53947400,2018-12-04,Warrington Community Center,4
53947401,2018-12-03,Phillips Community Center,59
53947402,2018-12-03,West Penn Community Center,79
53947403,2018-12-03,Ammon Community Center,101
53947404,2018-12-03,Brookline Community Center,65
53947405,2018-12-03,Magee Community Center,77
53947406,2018-12-03,Jefferson Community Center,17
53947407,2018-12-03,Ormsby Community Center,38
53947408,2018-12-03,Paulson Community Center,24
53947409,2018-12-03,Warrington Community Center,29
53947410,2018-12-02,Ammon Community Center,1
53947411,2018-12-01,Phillips Community Center,14
53947412,2018-12-01,West Penn Community Center,62
53947413,2018-12-01,Ammon Community Center,2
53947414,2018-12-01,Brookline Community Center,50
53947415,2018-12-01,Magee Community Center,54
53947416,2018-11-30,Phillips Community Center,70
53947417,2018-11-30,West Penn Community Center,62
53947418,2018-11-30,Ammon Community Center,80
53947419,2018-11-30,Brookline Community Center,88
53947420,2018-11-30,Magee Community Center,39
53947421,2018-11-30,Jefferson Community Center,22
53947422,2018-11-30,Paulson Community Center,25
53947423,2018-11-30,Ormsby Community Center,59
53947424,2018-11-30,Warrington Community Center,26
53947425,2018-11-29,Phillips Community Center,37
53947426,2018-11-29,West Penn Community Center,67
53947427,2018-11-29,Ammon Community Center,141
53947428,2018-11-29,Brookline Community Center,55
53947429,2018-11-29,Jefferson Community Center,9
53947430,2018-11-29,Magee Community Center,58
53947431,2018-11-29,Ormsby Community Center,34
53947432,2018-11-29,Paulson Community Center,28
53947433,2018-11-29,Warrington Community Center,21
53947434,2018-11-28,Phillips Community Center,136
53947435,2018-11-28,West Penn Community Center,57
53947436,2018-11-28,Ammon Community Center,114
53947437,2018-11-28,Brookline Community Center,91
53947438,2018-11-28,Magee Community Center,68
53947439,2018-11-28,Jefferson Community Center,26
53947440,2018-11-28,Paulson Community Center,26
53947441,2018-11-28,Ormsby Community Center,66
53947442,2018-11-28,Warrington Community Center,13
53947443,2018-11-27,Phillips Community Center,44
53947444,2018-11-27,West Penn Community Center,97
53947445,2018-11-27,Ammon Community Center,101
53947446,2018-11-27,Brookline Community Center,73
53947447,2018-11-27,Jefferson Community Center,21
53947448,2018-11-27,Magee Community Center,42
53947449,2018-11-27,Ormsby Community Center,40
53947450,2018-11-27,Paulson Community Center,23
53947451,2018-11-27,Warrington Community Center,8
53947452,2018-11-26,Phillips Community Center,36
53947453,2018-11-26,West Penn Community Center,74
53947454,2018-11-26,Ammon Community Center,79
53947455,2018-11-26,Brookline Community Center,78
53947456,2018-11-26,Magee Community Center,53
53947457,2018-11-26,Jefferson Community Center,35
53947458,2018-11-26,Paulson Community Center,15
53947459,2018-11-26,Ormsby Community Center,15
53947460,2018-11-26,Warrington Community Center,19
53947461,2018-11-21,Phillips Community Center,54
53947462,2018-11-21,West Penn Community Center,70
53947463,2018-11-21,Ammon Community Center,13
53947464,2018-11-21,Brookline Community Center,49
53947465,2018-11-21,Jefferson Community Center,15
53947466,2018-11-21,Magee Community Center,36
53947467,2018-11-21,Ormsby Community Center,29
53947468,2018-11-21,Paulson Community Center,21
53947469,2018-11-21,Warrington Community Center,10
53947470,2018-11-20,Phillips Community Center,34
53947471,2018-11-20,West Penn Community Center,73
53947472,2018-11-20,Ammon Community Center,78
53947473,2018-11-20,Brookline Community Center,65
53947474,2018-11-20,Magee Community Center,43
53947475,2018-11-20,Jefferson Community Center,25
53947476,2018-11-20,Paulson Community Center,25
53947477,2018-11-20,Ormsby Community Center,43
53947478,2018-11-20,Warrington Community Center,8
53947479,2018-11-19,Phillips Community Center,43
53947480,2018-11-19,West Penn Community Center,82
53947481,2018-11-19,Ammon Community Center,97
53947482,2018-11-19,Brookline Community Center,62
53947483,2018-11-19,Jefferson Community Center,14
53947484,2018-11-19,Magee Community Center,40
53947485,2018-11-19,Ormsby Community Center,30
53947486,2018-11-19,Paulson Community Center,26
53947487,2018-11-19,Warrington Community Center,17
53947488,2018-11-17,Phillips Community Center,6
53947489,2018-11-17,West Penn Community Center,39
53947490,2018-11-17,Brookline Community Center,59
53947491,2018-11-17,Magee Community Center,33
53947492,2018-11-16,Phillips Community Center,40
53947493,2018-11-16,West Penn Community Center,62
53947494,2018-11-16,Ammon Community Center,18
53947495,2018-11-16,Brookline Community Center,41
53947496,2018-11-16,Magee Community Center,25
53947497,2018-11-16,Jefferson Community Center,22
53947498,2018-11-16,Paulson Community Center,25
53947499,2018-11-16,Ormsby Community Center,32
53947500,2018-11-16,Warrington Community Center,4
53947501,2018-11-15,Phillips Community Center,44
53947502,2018-11-15,West Penn Community Center,50
53947503,2018-11-15,Ammon Community Center,85
53947504,2018-11-15,Brookline Community Center,41
53947505,2018-11-15,Jefferson Community Center,21
53947506,2018-11-15,Magee Community Center,31
53947507,2018-11-15,Ormsby Community Center,44
53947508,2018-11-15,Paulson Community Center,17
53947509,2018-11-15,Warrington Community Center,5
